match id,dataset_type,win_pred_team_id,win_pred_score,train_algorithm,is_ensemble,train_hps_trees,train_hps_depth,train_hps_lr,indep_feat_id1,indep_feat_id2,indep_feat_id3,indep_feat_id4,indep_feat_id5,indep_feat_id6,indep_feat_id7,indep_feat_id8,indep_feat_id9,indep_feat_id10
9250275,r1,90,0.5955436874148492,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.0,0.0,161.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9262189,r1,36098,0.549015122850451,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.6153846153846154,143.06666666666666,135.06666666666666,0.86,0.9644082043286348,0.3866906474820143,0.83,2.14,1.5,0.9060055058819766
9128776,r1,48334,0.5635695779680798,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.8421052631578947,166.06666666666666,154.33333333333334,0.55,0.9296596943873714,0.8357628765792032,0.66,0.39,0.9166666666666666,0.9161188213633448
9586919,r1,36112,0.5186079189241708,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.2857142857142857,146.83333333333334,140.53333333333333,1.18,1.07384437596302,1.1561461794019934,2.5,1.18,1.25,0.9875711972738184
9128538,r1,30414,0.5098211319600441,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,2.375,169.7,163.4,0.43,1.095977783203125,1.3202614379084967,0.88,1.0,1.0,0.9891940888854768
9516653,r1,30435,0.56297984496561,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.4,172.4,166.6,1.43,0.957173141085426,1.294642857142857,1.11,0.34,0.9942857142857144,0.981324246104604
9516534,r1,30414,0.5044134195915504,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.6818181818181818,176.46666666666667,168.13333333333333,0.25,0.8097185863874345,0.5170212765957447,0.38,0.56,1.4959349593495936,0.9291397963391416
9085474,r1,9701,0.5518255640374852,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,3.2,173.2,168.0,1.88,0.8136007827788649,0.6420454545454546,0.96,1.17,1.0448979591836736,1.161290465515699
9433752,r1,7727,0.5503276779543574,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,2.4285714285714284,166.33333333333334,155.53333333333333,2.86,0.978048091194643,1.5780730897009967,1.91,1.64,1.105990783410138,0.9354558967299816
9516359,r1,30428,0.5248422532235943,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.7272727272727273,164.83333333333334,162.53333333333333,6.72,1.2863270727846638,6.142857142857143,1.11,0.72,0.717391304347826,1.1976219154522487
