feat_id,feat_name,feat_description,model_feat_imp_train,feat_rank_train
1,team1Num50Last15,Ratio of team1 to team2 number of 50s by players in last 15 games.,0.08195976804642398,1
2,seriesAvgRunsLast15,Average runs scored in the series in last 15 games.,0.06269964825776969,2
3,team1BatsFirstWins,Ratio of team1 to team2 percent of match wins resulting from batting first.,0.06099215554582693,3
4,inn2AvgRunsLast15,Average runs scored in inning 2 in last 15 games.,0.0566764362350177,4
5,team1AvgWicketsLost,Ratio of team1 to team2 avg wickets lost w.r.t total balls faced.,0.04905493101080488,5
6,team1WinpLight,Ratio of team1 to team2 percent win given the lighting condition.,0.04851026580250917,6
7,team1AvgRR,Ratio of team1 to team2 average runs rate,0.04793044372294347,7
8,team1AvgWicketsMargin,Ratio of team1 to team2 average of margin of wickets won by,0.045803612560678685,8
9,team1OnlyAvgRunsLast15,Average inning runs of team1 only in last 15 games.,0.042551303418728564,9
10,team1tossWinnerWins,Ratio of team1 to team2 percent of toss wins resulting in match wins.,0.04254464410446701,10
