feat_id,feat_name,feat_description,model_feat_imp_train,feat_rank_train
1,rel_strength,Relative strength of team1 to team2.,0.07697080251674855,1
2,team1TotalWicketsPOMLast15,Ratio of team1 to team2 total wickets by player of the match in last 15 games.,0.05450403067492029,2
3,team1Num50Last15,Ratio of team1 to team2 number of 50s by players in last 15 games.,0.0519200554368149,3
4,team1TotalRunsPOMLast15,Ratio of team1 to team2 total runs by player of the match in last 15 games.,0.03788030872980587,4
5,team1BatsFirstWins,Ratio of team1 to team2 percent of match wins resulting from batting first.,0.03652310633751238,5
6,inn2AvgRunsLast15,Average runs scored in inning 2 in last 15 games.,0.03437416031770285,6
7,team1BatBoundaryPercentLast15,Ratio of team1 to team2 percent of runs scored that are boundaries in last 15 games.,0.03268081978651411,7
8,seriesAvgRunsLast15,Average runs scored in the series in last 15 games.,0.0315524043365594,8
9,team1BowlBoundaryPercentLast15,Ratio of team1 to team2 percent of runs conceded that are boundaries in last 15 games.,0.03080427549094757,9
10,team1SRover120Last15,Ratio of team1 to team2 percent player-level strike rate over 120 in last 15 games.,0.03058740819458988,10
